"created_at","tweet.text","state"
"Mon May 18 19:52:48 +0000 2020","😔","Illinois"
"Mon May 18 19:53:05 +0000 2020","Diarrhea is a covid symptom? Oh god I’ve had covid everyday for the last three years.","California"
"Mon May 18 19:53:13 +0000 2020","If you missed it, here's our article on the many benefits of playing tabletop RPGs during (and after) COVID-19.","Illinois"
"Mon May 18 20:02:09 +0000 2020","my wedding finna be lit","Texas"
"Mon May 18 20:02:18 +0000 2020","Doctor......Duffus?","South Carolina"
"Mon May 18 20:02:18 +0000 2020","so y’all just said fuck covid huh???","California"
"Mon May 18 20:02:37 +0000 2020","With new data available regarding our current COVID-19 numbers, Health Commissioner Melba Moore reminded us today i… https://t.co/CEr4TxXyRw","Ohio"
"Mon May 18 20:02:46 +0000 2020","Nancy Peloci wants to investigate the firing of IG Steve Linick while the U.S. is battling COVID-19! Another Tax Pa… https://t.co/Fbl1tDdUCe","Washington"
"Mon May 18 20:02:48 +0000 2020","👉 #ObamaGate #ObamaLiedandSpied  #DropOutBiden   #COVIDー19 @DavidJHarrisJr @RobertJohnDavi @Timcast @FREEDOMPR0JECT… https://t.co/MG0LBZe4VQ","North Carolina"
"Mon May 18 20:03:05 +0000 2020","Thank you @N_opfer @ayejayruiz @VincentGNava and @nscpatterson @NevadaState Faculty and Staff for taking time to de… https://t.co/M1heFemHrT","Nevada"
"Mon May 18 20:03:19 +0000 2020","After finally having things with insurance settled proceeding my marriage/divorce process, my appointment to have t… https://t.co/7jlkuSsLdd","Massachusetts"
"Mon May 18 20:03:19 +0000 2020","Ugh...@USPS I have a package that’s been marked as delivered to the front office of my apartment for 2 days now. Th… https://t.co/I8A1TGQVpr","Florida"
"Mon May 18 20:03:21 +0000 2020","Four F-16s from Holloman Air Force Base soared over Roswell honoring COVID-19 pandemic front-line workers. We’re th… https://t.co/DcvRT8iBi5","New Mexico"
"Mon May 18 20:03:22 +0000 2020","@GregAbbott_TX says our hospital capacity in El Paso is “too close for comfort” and announces a 1 week delay for ou… https://t.co/4hA0vNj9JC","Texas"
"Mon May 18 20:03:27 +0000 2020","I just signed a @commoncause petition to the U.S. Senate: Don’t let COVID-19 upend our democracy! Sign here: https://t.co/tgtaauoywq","Arizona"
"Mon May 18 20:03:39 +0000 2020","Wow. Heartbreaking.","South Carolina"
"Mon May 18 20:03:44 +0000 2020","Incase you missed the email..... read up on the new salon policies for formationsalonandspa post COVID-19.… https://t.co/IpEeLmliIu","Missouri"
"Mon May 18 20:04:08 +0000 2020","We all scream for Bliss Ice Cream 🍦 The University Place small batch creamery is open 5-7 PM daily to pick up pints… https://t.co/mXja2LI49L","Washington"
"Mon May 18 20:04:09 +0000 2020","Are you willing to pay a “COVID-19 surcharge” next time you go to a restaurant? Call the show right meow at 419-214… https://t.co/uVLzN0dSqS","Ohio"
"Mon May 18 20:04:12 +0000 2020","All of the above","Texas"
"Mon May 18 20:04:17 +0000 2020","I really wanted to hit 1k on these shields today, but supplies are low so i have to wait until they arrive tomorrow… https://t.co/C8xy0iZNTu","Illinois"
"Mon May 18 20:04:54 +0000 2020","COVID-19: China commits $2 billion to fight the pandemic #Coronavirus https://t.co/vgzhvQpZDa","Texas"
"Mon May 18 20:05:25 +0000 2020","La gran lección del covid: no robe, ni haga torcidos, ni viole, ni mate. Que en la cárcel se lo va a llevar el hijueputa jajaja jajaja","Florida"
"Mon May 18 20:05:48 +0000 2020","This pandemic isn’t over just because you’re bored 👏🏼 #COVIDー19","California"
"Mon May 18 20:05:54 +0000 2020","@KristaSparks95 @EliseStefanik Open the economy discussions in May have nothing to do with the policy enacted in NY… https://t.co/oPfnbk99Nn","California"
"Mon May 18 20:06:08 +0000 2020","Oh for Christ’s sake 🙄","California"
"Mon May 18 20:06:14 +0000 2020","I’m so tired of reading kauai people talk about covid-19, like/repost shit about how people should stay home but I’… https://t.co/oswz9U07s7","Hawaii"
"Mon May 18 20:06:15 +0000 2020","#Covid_19 #Vaccines thread by @ScottGottliebMD about recent encouraging vaccine and convalescent plasma developments","Virginia"
"Mon May 18 20:06:42 +0000 2020","I just signed a @commoncause petition to the U.S. Senate: Don’t let COVID-19 upend our democracy! Sign here: https://t.co/4aWMJCPgRM","Oklahoma"
"Mon May 18 20:06:51 +0000 2020","How kind do you think society could really stay inside? We did it for over a month. You can’t contain people for th… https://t.co/KyEamSILU6","Florida"
"Mon May 18 20:06:54 +0000 2020","A true hero’s parade occurred today at CHAM. One of our COVID patients was discharged after being in our PICU for 5… https://t.co/RQ9JAJaToE",""
"Mon May 18 20:07:01 +0000 2020","❤️ 😔 🙏","California"
"Mon May 18 20:07:38 +0000 2020","Yes","New York"
"Mon May 18 20:07:44 +0000 2020","The dream of homeownship is such an amazing accomplishment. This smile reflects the feeling of peace, love , and tr… https://t.co/j0PsaFW9Dq","Texas"
"Mon May 18 20:07:45 +0000 2020","@ICN_DJ My new episode is out!!! \n\nOn this episode, I update folks on the ghetto ass state our country is in, 5 thi… https://t.co/zGU74G0Bpj","New York"
"Mon May 18 20:07:46 +0000 2020","@staceyabrams @SamanthaP_Jones @K_JeanPierre @KamalaHarris @khalenNOTkaylen @JoeBiden @WesleyBell4STL… https://t.co/mhqHjOHVYv","Missouri"
"Mon May 18 20:08:07 +0000 2020","Vote by mail is not a partisan issue—at least not among millennial legislators.","Iowa"
"Mon May 18 20:08:15 +0000 2020","Thank you Mr. President for doing a great job. Its China that is responsible for life lost anywhere due to this Cov… https://t.co/k8tuJdDq8b","North Carolina"
"Mon May 18 20:08:17 +0000 2020","""China used travelers to “seed” Covid-19, says Trump aide Navarro"" https://t.co/x0PaGkxPF0","North Carolina"
"Mon May 18 20:08:24 +0000 2020","@realDonaldTrump @washingtonpost The Covid Virus wasn't even around during the Obama Administration Jack Ass","Maryland"
"Mon May 18 20:08:48 +0000 2020","I just signed a @commoncause petition to the U.S. Senate: Don’t let COVID-19 upend our democracy! Sign here: https://t.co/WgDJ0pXrSG","Michigan"
"Mon May 18 20:08:57 +0000 2020","@steevdeer @whchapman @aerix88 @thegoodzachconn @GovMikeDeWine You know governor Dewine is Ohio not New Jersey righ… https://t.co/b1NUzUCTYG","Colorado"
"Mon May 18 20:09:08 +0000 2020","An anonymous contact tracing app to help protect my community from COVID-19? I’m in. Visit https://t.co/00ZEvtWJ6M for details!","Pennsylvania"
"Mon May 18 20:09:08 +0000 2020","Quisiera que esto lo publicara una cuenta parodia pero no, es la oficial.","Wisconsin"
"Mon May 18 20:09:11 +0000 2020","Yes!!!! Thank you for acknowledging lost sports for youth too and the mental affects! #openoregon \nCyril H. Wecht:… https://t.co/FnnRz1S8RW","Oregon"
"Mon May 18 20:09:14 +0000 2020","The only thing that can save us from the corona virus https://t.co/l29D8hWY0i","Indiana"
"Mon May 18 20:09:20 +0000 2020","Your noncompliance \nis going to make CoViD\n19 great again\n\n#haiku #HarveysHaikus","Maryland"
"Mon May 18 20:09:21 +0000 2020","ima be in that bitch like https://t.co/Y5Nu5wndqT","New Jersey"
"Mon May 18 20:09:22 +0000 2020","Also companies that are financially viable using COVID as an excuse to reduce employee wages and pad profits are simply disgusting","Massachusetts"
"Mon May 18 20:09:24 +0000 2020","USAID head to UN Secretary General: Stop peddling abortion as COVID-19 relief | News | LifeSite https://t.co/WTPGjNb2uu","Pennsylvania"
"Mon May 18 20:09:26 +0000 2020","https://t.co/7QcsEC1yxp Happy to see health and safety are the priority. Looking forward to hearing what is next fo… https://t.co/Ji4Zw93vws","North Carolina"
"Mon May 18 20:09:28 +0000 2020","@cvpayne listen Charles, Prayer is good! The Chinese know our weaknesses Now! The Covid-19 was designed in a Lab as… https://t.co/GQK9QFVq4p","Arizona"
"Mon May 18 20:09:33 +0000 2020","@DragoCordis @PaulaKayMartin @thinkstrategy5 @lordbuckly @NPR I suppose this lady is not speaking factual.  https://t.co/Rnc9ssyT2K","Indiana"
"Mon May 18 20:09:33 +0000 2020","@LeonardNorthcu1 @davidtrumble53 @JeffreyGuterman @realDonaldTrump The charity is a political prosecution and I thi… https://t.co/tcJ4jXfRQQ","Virginia"
"Mon May 18 20:09:35 +0000 2020","https://t.co/wE17ntt0Ma","Connecticut"
"Mon May 18 20:09:46 +0000 2020","José Adán Montes de @colmed_es dijo que es necesario que el gobierno fortalezca la vigilancia epidemiológico donde… https://t.co/EZnId5YwKY","Texas"
"Mon May 18 20:09:46 +0000 2020","Just when you thought it was time to work towards normal, you're reminded that there will be repercussions from thi… https://t.co/jjbygvYkAQ","Virginia"
"Mon May 18 20:09:54 +0000 2020","California has announced that pro sports can begin without fans the first week of June. \n\nThis is huge news for the… https://t.co/yAaiNRuVz7","California"
"Mon May 18 20:10:12 +0000 2020","Terrific final school show of the school year by @CWHS_CDubMedia @CyFairISD Great Learning at home by our video stu… https://t.co/bg7SPf110B","Texas"
"Mon May 18 20:12:09 +0000 2020","I just signed a @commoncause petition to the U.S. Senate: Don’t let COVID-19 upend our democracy! Sign here: https://t.co/2ZjxyP63BI","Maryland"
"Mon May 18 20:12:12 +0000 2020","I can hear the DJs now “if you survived COVID-19 make some mf’n noise!”😂","Michigan"
"Mon May 18 20:12:22 +0000 2020","@MegaQuack24 .....this is how covid started.","Washington"
"Mon May 18 20:12:47 +0000 2020","@Davey3482 @coachtodaro @nowthisnews @NGA @POTUS @CDCgov @NIH @AP @WhiteHouse @WHO @ODNIgov Fair point.  I was look… https://t.co/hXVvsPXXYg","Maryland"
"Mon May 18 20:12:53 +0000 2020","He and Daddy went to the same medical school.\nEric Trump Claims Social Distancing Is a Democrat 'Strategy' and COVI… https://t.co/8Jbm8g3ZB9","Oklahoma"
"Mon May 18 20:13:01 +0000 2020","See thread for updated regs on who should get tested for #COVID19 as well as new synptoms to watch for ⬇️","New York"
"Mon May 18 20:13:01 +0000 2020","Beginning to think that, efficient route-planning as it is, I shouldn’t have done my liquor shopping before droppin… https://t.co/h3aIDsgChR","New Jersey"
"Mon May 18 20:13:10 +0000 2020","@Martinsuz I bet he’s got COVID","North Carolina"
"Mon May 18 20:13:14 +0000 2020","NEGATIVE FOR SARS-COV-2 (COVID-19)!!!","New York"
"Mon May 18 20:13:14 +0000 2020","https://t.co/3WYnKe2Zjh Here is more on the start up of surgeries today at Lawrence &amp; Memorial hospital #NewLondon","Connecticut"
"Mon May 18 20:13:29 +0000 2020","Lies, damn lies and Georgia lies.","California"
"Mon May 18 20:13:45 +0000 2020","Mfw injecting Clorox didnt cure my COVID-19\n\n@1AndOnlyBigSexy https://t.co/6eWBbEwEHe","Illinois"
"Mon May 18 20:14:06 +0000 2020","Trump praised China’s response. Trump sent PPE’s to China ignoring being told Covid-19 in USA.","California"
"Mon May 18 20:14:10 +0000 2020","@mattw6767 @chuckwoolery A guy at work lost his son in a car accident unfortunately he was DOA when the ambulance s… https://t.co/lF9PVOMpDR","Massachusetts"
"Mon May 18 20:14:12 +0000 2020","Ok im bout to mute covid and coronavirus","Ohio"
"Mon May 18 20:14:29 +0000 2020","Trump and his Republican allies have given up on COVID-19 — and now are only offering incoherent rhetoric about ‘ch… https://t.co/kAk2rRddU5","Michigan"
"Mon May 18 20:14:53 +0000 2020","Castlight Health - COVID-19 Test Site Finder: Get Information on Coronavirus Testing Near You… https://t.co/OsPE4Ec91k","New York"
"Mon May 18 20:14:56 +0000 2020","#Trump\n#Republicans\n#coronavirus\n#pandemic\n#COVID\n#COVIDー19\n\nTrump and his Republican allies have given up on COVID… https://t.co/7L7kU8eSvf","Georgia"
"Mon May 18 20:15:01 +0000 2020","That's a pic from 2016","Mississippi"
"Mon May 18 20:15:03 +0000 2020","Great Op Ed by @mtwyouth Proud that @GLADLaw is in the new the MA Child Welfare / Covid-19 coalition with them,… https://t.co/SI3ba7b5Hz","Massachusetts"
"Mon May 18 20:15:09 +0000 2020","@Diane_Warren Doesn't sound like COVID. \nDidn't know he became a cop, got shot five times in one incident.","California"
"Mon May 18 20:15:32 +0000 2020","Man FUCK YALL","California"
"Mon May 18 20:15:37 +0000 2020","@kb42619 @ABC7 It had decreased tremendously. My hospital has 5 floors of ICU each floor w/ a specific specialty, s… https://t.co/FraZ1Q1dvn","California"
"Mon May 18 20:15:37 +0000 2020","“Chasin’ You” is No. 1! 🏆 Congratulations to writers @MorganWallen #JamieMoore and @thebigloudshirt on topping the… https://t.co/XI3H7byDSo","Florida"
"Mon May 18 20:15:43 +0000 2020","@CedEntertainer @TheRealMikeEpps @russwest44 @UncleRUSH\n@CoachTomlin \nHelp make this go national.","Missouri"
"Mon May 18 20:16:14 +0000 2020","@DavidStacy410 @leakservicer @BethTransueIFBB @robsmithonline I would think all those would be Covid-19 related..… https://t.co/SpBpg1znQ5","New York"
"Mon May 18 20:16:34 +0000 2020","The only deaths that matter now are the cOvid-related ones? What about suicides and homocides? I have become sick t… https://t.co/VVKPfASHMc","New Mexico"
"Mon May 18 20:16:47 +0000 2020","Eric Trump is a prophet from God!  I just heard him say on Fox news that come November 3rd the Corona virus will ma… https://t.co/z4Yf0NQ9sT","Florida"
"Mon May 18 20:17:32 +0000 2020","@ZuzuOnFire @StevePoliti Going to post a couple things that collectively make my stance.  First is what is herd imm… https://t.co/CfgcCIhA9m","New Jersey"
"Mon May 18 20:17:37 +0000 2020","gotta wait until January for the vaccine 🥴","Texas"
"Mon May 18 20:17:40 +0000 2020","More ammo for the “anticoagulation in COVID-19 argument”. Observational study so can’t determine what confounders a… https://t.co/r0lvxP2Dhq","Indiana"
"Mon May 18 20:17:49 +0000 2020","So you are acknowledging by the most unsuccessful effort to contain COVID to date by thenTrp administration that it… https://t.co/Sj4SEZPJTb","California"
"Mon May 18 20:17:50 +0000 2020","@maddow So Realtors have to disclose if someone has died in a house before you buy it, but the ADHS doesn't have to… https://t.co/3IgBOsnXMz","California"
"Mon May 18 20:17:59 +0000 2020","👏👏Song of the Year!!!@googoodolls Fearless!!💪❤️🎶❤️","New York"
"Mon May 18 20:18:06 +0000 2020","Just like our socialists","Georgia"
"Mon May 18 20:18:07 +0000 2020","Charlestown COVID Testing Site by appointment. At least 1 symptom...","Massachusetts"
"Mon May 18 20:18:15 +0000 2020","America First! We are #1 in Mass Shottings, #1 in Homicides, #1  in ruining our environment since Trump, #1 in Covi… https://t.co/1GuX8pDpbo","Pennsylvania"
"Mon May 18 20:18:17 +0000 2020","Author meets critics panels look a little difference in the age of covid. If you haven’t yet purchased… https://t.co/1o5TaF3idv","Texas"
"Mon May 18 20:18:23 +0000 2020","#RyanSeacrest @RyanSeacrest \n\nAs we all pray for you 🙏.","New York"
"Mon May 18 20:18:23 +0000 2020","One library in Edinburg needed to close their doors to the public back in March in order to follow important COVID-… https://t.co/B4nmU5BpJF",""
"Mon May 18 20:18:36 +0000 2020","Comical","Hawaii"
"Mon May 18 20:18:40 +0000 2020","May the Boyce Family Have our Sincerest Condolences on the Loss Of Heather Russo(Boyce). She passed away due to Com… https://t.co/NGRtEtvNUR","California"
"Mon May 18 20:18:40 +0000 2020","A must listen too this dad's child died of Covid but not how you think. Prayers to him and family. This broke my he… https://t.co/fwtwZg5em2","Florida"
"Mon May 18 20:18:51 +0000 2020","My barber is back at work, gyms are open &amp; bars open Friday. I don’t want COVID but fuck I might risk it.  https://t.co/odB8J6tJaL","Texas"
"Mon May 18 20:18:52 +0000 2020","Want to know what research has been conducted on schools and food security during COVID-19? Feel free to join this… https://t.co/8yi5wC7Gc0","Illinois"
"Mon May 18 20:18:57 +0000 2020","please pray that my sweet great great aunt’s COVID-19 test comes back negative 🥺","Texas"
"Mon May 18 20:19:00 +0000 2020","COVID voting 2020 https://t.co/LSZsMhPU5E",""
"Mon May 18 20:19:07 +0000 2020","COVID Deaths in US Approach 100,000 as Trump Administration Misleads Public https://t.co/kH7uWG1h12 via @truthout","North Carolina"
"Mon May 18 20:19:20 +0000 2020","This is, by far, the most predictable disappointment of this crisis.","Oregon"
"Mon May 18 20:19:26 +0000 2020","Apparently people are COVID-19 panic driving. . . SHEESH. Take the masks off in your car so you can get some oxygen to your brain.","Ohio"
"Mon May 18 20:19:26 +0000 2020","This 👇👇👇👇","North Carolina"
"Mon May 18 20:19:28 +0000 2020","The things invented in Covid 19:  When Ms Papesh went to drop off her end-of-year student gift to @ireDCSD 3rd grad… https://t.co/v6TY0YqYLv","Ohio"
"Mon May 18 20:19:33 +0000 2020","@Capitals Cancel the season so we can get our money back! Spent over $500 on tickets for the March 14 game! This is… https://t.co/ifRbtsokVE","Texas"
"Mon May 18 20:19:38 +0000 2020","#coronavirus\n#COVID\n#COVIDー19\n#trump\n#DumpTrump\n#DonTheCon\n#pandemic\n\nMorning Joe paints frightening portrait of ‘a… https://t.co/MtmMpe27rX","Georgia"
"Mon May 18 20:19:40 +0000 2020","Immediately after we lost nearly 3,000 fellow Americans on Sept 11, 2001, we launched a global war on terror in ret… https://t.co/USyWx3m9F1","Oklahoma"
"Mon May 18 20:19:44 +0000 2020","Probably not. At this moment, Trump has in his hands the chicken with the golden eggs. Admitting to the virus could… https://t.co/KZ9rPmJTPu","Florida"
"Mon May 18 20:20:06 +0000 2020","Watching golf is even more boring than watching paint dry. @realDonaldTrump #golfontvgivesmemigraines","New Jersey"
"Mon May 18 20:20:11 +0000 2020","Covid is CURED! https://t.co/VOoUn0PELM","Pennsylvania"
"Mon May 18 20:20:21 +0000 2020","Senior Spotlight – Aryton Daniels, Roff High School\nAryton enjoys playing his guitar, working on his PC, and spendi… https://t.co/27t3K7OEAK","Oklahoma"
"Mon May 18 20:20:35 +0000 2020","I can’t get over how we got tired of #COVID and just decided it was over","Illinois"
"Mon May 18 20:20:39 +0000 2020","Author(s) meets critics panels look a little different in the age of covid. If you have not purchased… https://t.co/kXh8i54hXG","Texas"
"Mon May 18 20:21:04 +0000 2020","Panelists include Dean Davidson and Professor Cynda Rushton @nursingdean @CyndaEthx Amazing opportunity to listen t… https://t.co/oUBgxswcXD","Maryland"
"Mon May 18 20:21:05 +0000 2020","HAPPENING NOW: COVID-19 Testing site this afternoon at McKinley United Methodist Church in Dayton. Organizers say t… https://t.co/59v2STjnmU","Ohio"
"Mon May 18 20:21:09 +0000 2020","@KatyTurNBC So many people insisting that flu is even worse than Covid. So now I have even more of a reason to mask-up.","Missouri"
"Mon May 18 20:21:27 +0000 2020","COVID-19 Art Museum @PParkPanthers is here! “It was beautiful to see so many of our students participate and expres… https://t.co/6MBwScvImN",""
"Mon May 18 20:21:30 +0000 2020","@ZuzuOnFire @StevePoliti Combine that with more recent studies like this and you are talking about lapping  everyth… https://t.co/bfy0aXaAbi","New Jersey"
"Mon May 18 20:21:47 +0000 2020","And huge shout out to the 100,000 of you faking your deaths. #TeamEffort","Colorado"
"Mon May 18 20:21:56 +0000 2020","This is for your pleasure 🎻🎸🎺🎷🥁🎤. be and stay blessed. Be safe in times of COVID-19.  – ♫Water to Drink (Agua de Be… https://t.co/quMlw7L2rG","California"
"Mon May 18 20:22:07 +0000 2020","@DragoCordis @PaulaKayMartin @thinkstrategy5 @lordbuckly @NPR https://t.co/oM3wbslCbV.   Dr Birx says the same. I w… https://t.co/DS9IhTQVuO","Indiana"
"Mon May 18 20:22:13 +0000 2020","Andrew Cuomo and other Blue State governors that have placed covid-19 patients in nursing homes should be prosecute… https://t.co/9CCPa5Bxaz","North Carolina"
"Mon May 18 20:22:32 +0000 2020","@MarkDavis I have a theory: Trump’s ongoing COVID pressers are excellent because it keeps him and his answers sharp… https://t.co/jmQ4xdE0CB","Texas"
"Mon May 18 20:22:35 +0000 2020","I’m in the mood to drive to Mississippi for the night. Just to get away. Then COVID-19 comes to mind","Louisiana"
"Mon May 18 20:22:44 +0000 2020","@notcapnamerica I was all for a COVID vaccine until Trump stuck his grimy orange thumb in the pie. He says we will… https://t.co/FPWnq0dIkl","Georgia"
"Mon May 18 20:22:54 +0000 2020","MOOD BOOTY 2020\n*Summer Shorts*\nWomen Shorts Available\nBuy 2 - Get 1 Free -Discount\n\nSizes - S- 4X\nPre Order Soon (… https://t.co/TUNKe7eYhT","Georgia"
"Mon May 18 20:23:01 +0000 2020","Australia announces bid to win back tourists after worst bushfires on record and the coronavirus pandemic.… https://t.co/LMCUlmlZQI","Georgia"
"Mon May 18 20:23:15 +0000 2020","@MsOedipaMass I did the free covid test from the city a week ago. Haven't done the antibody one.","California"
"Mon May 18 20:23:17 +0000 2020","So “a post COVID world” is going to be the new office buzzword I guess.","New Jersey"
"Mon May 18 20:23:23 +0000 2020","Interested in COVID-19 Contact Tracing?\nApply here: https://t.co/gsGiz8Wq2g","Illinois"
"Mon May 18 20:23:38 +0000 2020","Yes, how am I doing?! 🤪😅","Tennessee"
"Mon May 18 20:23:50 +0000 2020","@B52Malmet Let trump hold rallies with his idiot voters who refuse to wear masks &amp; social distance. Watch for Covid… https://t.co/lX3TU7K7Ja","California"
"Mon May 18 20:23:58 +0000 2020","The Dorr brothers are behind the lock down protests. Three pro gun activists using the lock down as a trigger point… https://t.co/4OVfEPTEUI","California"
"Mon May 18 20:24:03 +0000 2020","@jerryferrara I can’t believe it’s almost 5 years since the entourage movie came out. Besides a cure for covid-19 c… https://t.co/fy4jqypfkU","New York"
"Mon May 18 20:24:12 +0000 2020","@Quonar @cnnbrk I live in AZ. The Navajo Nation has been getting fucked by Covid with very little national attentio… https://t.co/7SjRNogKf4","Arizona"
"Mon May 18 20:24:16 +0000 2020","I'm not afraid of this damn virus, what bothers me is suffering Americans do to covid-19 or 36 million unemployed o… https://t.co/VXn90fI0MK","North Carolina"
"Mon May 18 20:24:17 +0000 2020","What a mess. #COVID \nhttps://t.co/VoUjAhlBxO","Ohio"
"Mon May 18 20:25:07 +0000 2020","Animated Booty 2020\n*Summer Shorts*\nWomen Shorts Available\nBuy 2 - Get 1 Free\n\nSizes - S- 4X\nPre Order Soon (Covid… https://t.co/6s7nAdGDvi","Georgia"
"Mon May 18 20:25:24 +0000 2020","That’s good news","Ohio"
"Mon May 18 20:25:51 +0000 2020","Excited for the team to share their findings. Should be great event!","Nebraska"
"Mon May 18 20:26:54 +0000 2020","Wtf is in this corona virus air that has my cramps, for the second month in a row, unbearably painful? 🤢😵","California"
"Mon May 18 20:26:56 +0000 2020","The ex-pharma exec leading Trump's COVID-19 vaccine program has $10 million in stock options for a company getting… https://t.co/MyDNKti9IE","Texas"
"Mon May 18 20:27:01 +0000 2020","Soft Booty 2020\n*Summer Shorts*\nWomen Shorts Available\nBuy 2 - Get 1 Free\n\nSizes - S- 4X\nPre Order Soon (Covid 19-… https://t.co/fEPnHoC5fp","Georgia"
"Mon May 18 20:27:03 +0000 2020","Great for you Alex. I got my COVID-19 test last Friday. Expecting results any day, but no symptoms. Just gotta know.","Arizona"
"Mon May 18 20:27:32 +0000 2020","@inafelltoearth And the reports of the post-covid symptoms are pretty terrifying too. You'd think potentially perma… https://t.co/Sl223hgvct","Oregon"
"Mon May 18 20:27:35 +0000 2020","Americans end up paying for Trump’s tariffs on China. \nAmericans end up dying for Trump’s inability to being a lead… https://t.co/OHLHEyFqN4","California"
"Mon May 18 20:27:37 +0000 2020","What in a the fresh HELL???","New York"
"Mon May 18 20:27:45 +0000 2020","Meanwhile boomer grandparents are like Santa Claus is real, but COVID-19 is a hoax.","Illinois"
"Mon May 18 20:27:48 +0000 2020","This is for your pleasure 🎻🎸🎺🎷🥁🎤. be and stay blessed. Be safe in times of COVID-19.  – ♫Sunburst by Sean U, from… https://t.co/erpUIyXoXm","California"
"Mon May 18 20:27:52 +0000 2020","Knew this","Louisiana"
"Mon May 18 20:28:41 +0000 2020","@SonGeneSon @MarshallCross69 @travion23 @pabIoestrada @CashNastyGaming Do you honestly think cramps are contagious… https://t.co/HBfOEkOv1E","Virginia"
"Mon May 18 20:29:03 +0000 2020","@OneJurorMatters @bones7616 @kandinsky68 @dagobootie @Judy80sforever  oh boy smh","Illinois"
